Trip..Duration,Start.Station.Id,Start.Time,End.Station.Id,End.Time,User.Type,Long_Trip
341,7293,12/08/2021 22:07,7077,12/08/2021 22:12,Annual Member,No
625,7428,12/08/2021 22:30,7659,12/08/2021 22:40,Annual Member,No
3123,7338,12/08/2021 22:35,7431,12/08/2021 23:27,Casual Member,Yes
634,7107,12/08/2021 23:03,7458,12/08/2021 23:14,Annual Member,No
361,7293,12/08/2021 23:28,7069,12/08/2021 23:34,Annual Member,No
992,7293,12/09/2021 00:12,7126,12/09/2021 00:28,Casual Member,Yes
973,7293,12/09/2021 00:12,7126,12/09/2021 00:28,Casual Member,Yes
502,7293,12/09/2021 01:58,7051,12/09/2021 02:06,Annual Member,No
760,7338,12/09/2021 03:23,7357,12/09/2021 03:36,Casual Member,No
1263,7338,12/09/2021 07:21,7004,12/09/2021 07:42,Annual Member,Yes
290,7338,12/09/2021 07:27,7340,12/09/2021 07:32,Annual Member,No
354,7662,12/09/2021 08:23,7148,12/09/2021 08:29,Casual Member,No
1677,7428,12/09/2021 08:26,7253,12/09/2021 08:54,Casual Member,Yes
1755,7338,12/09/2021 08:26,7483,12/09/2021 08:56,Casual Member,Yes
947,7662,12/09/2021 09:06,7497,12/09/2021 09:22,Annual Member,Yes
411,7293,12/09/2021 10:17,7472,12/09/2021 10:24,Annual Member,No
301,7662,12/09/2021 10:24,7226,12/09/2021 10:29,Annual Member,No
1095,7662,12/09/2021 11:36,7324,12/09/2021 11:54,Annual Member,Yes
359,7293,12/09/2021 11:41,7055,12/09/2021 11:47,Casual Member,No
260,7293,12/09/2021 12:54,7235,12/09/2021 12:58,Annual Member,No
969,7338,12/09/2021 13:19,7389,12/09/2021 13:35,Annual Member,Yes
841,7662,12/09/2021 14:32,7184,12/09/2021 14:46,Annual Member,No
490,7293,12/09/2021 15:24,7548,12/09/2021 15:32,Casual Member,No
206,7293,12/09/2021 17:03,7007,12/09/2021 17:06,Annual Member,No
